time(s),Engagement,Memorization,Workload
1.528000,29.6549726729,25.4289441385,17.9538452358
1.532000,29.6549726729,25.4289441385,17.9538452358
1.536000,29.5360043729,25.3907857522,16.7075991706
1.540000,29.5360043729,25.3907857522,16.7075991706
1.544000,29.5360043729,25.3907857522,16.7075991706
1.548000,29.5360043729,25.3907857522,16.7075991706
1.552000,29.5360043729,25.3907857522,16.7075991706
1.556000,29.5360043729,25.3907857522,16.7075991706
1.560000,29.5360043729,25.3907857522,16.7075991706
1.564000,29.5360043729,25.3907857522,16.7075991706
1.568000,30.1683052213,24.9925903242,18.2589410309
1.572000,30.1683052213,24.9925903242,18.2589410309
1.576000,30.1683052213,24.9925903242,18.2589410309
1.580000,30.1683052213,24.9925903242,18.2589410309
1.584000,30.1683052213,24.9925903242,18.2589410309
1.588000,30.1683052213,24.9925903242,18.2589410309
1.592000,30.1683052213,24.9925903242,18.2589410309
1.596000,30.1683052213,24.9925903242,18.2589410309
1.600000,30.1950937962,24.7486049502,19.0897344038
1.604000,30.1950937962,24.7486049502,19.0897344038
1.608000,30.1950937962,24.7486049502,19.0897344038
1.612000,30.1950937962,24.7486049502,19.0897344038
1.616000,30.1950937962,24.7486049502,19.0897344038
1.620000,30.1950937962,24.7486049502,19.0897344038
1.624000,30.1950937962,24.7486049502,19.0897344038
1.628000,30.1950937962,24.7486049502,19.0897344038
1.632000,30.1932130252,25.7562956753,18.8652501936
1.636000,30.1932130252,25.7562956753,18.8652501936
1.640000,30.1932130252,25.7562956753,18.8652501936
1.644000,30.1932130252,25.7562956753,18.8652501936
1.648000,30.1932130252,25.7562956753,18.8652501936
1.652000,30.1932130252,25.7562956753,18.8652501936
1.656000,30.1932130252,25.7562956753,18.8652501936
1.660000,30.1932130252,25.7562956753,18.8652501936
1.664000,29.8723822313,26.2327393671,18.1075163021
1.668000,29.8723822313,26.2327393671,18.1075163021
1.672000,29.8723822313,26.2327393671,18.1075163021
1.676000,29.8723822313,26.2327393671,18.1075163021
1.680000,29.8723822313,26.2327393671,18.1075163021
1.684000,29.8723822313,26.2327393671,18.1075163021
1.688000,29.8723822313,26.2327393671,18.1075163021
1.692000,29.8723822313,26.2327393671,18.1075163021
1.696000,30.1813978562,25.1279246213,18.483933945
1.700000,30.1813978562,25.1279246213,18.483933945
1.704000,30.1813978562,25.1279246213,18.483933945
1.708000,30.1813978562,25.1279246213,18.483933945
1.712000,30.1813978562,25.1279246213,18.483933945
1.716000,30.1813978562,25.1279246213,18.483933945
1.720000,30.1813978562,25.1279246213,18.483933945
1.724000,30.1813978562,25.1279246213,18.483933945
1.728000,29.831024283,25.3540598646,19.0396470196
1.732000,29.831024283,25.3540598646,19.0396470196
1.736000,29.831024283,25.3540598646,19.0396470196
1.740000,29.831024283,25.3540598646,19.0396470196
1.744000,29.831024283,25.3540598646,19.0396470196
1.748000,29.831024283,25.3540598646,19.0396470196
1.752000,29.831024283,25.3540598646,19.0396470196
1.756000,29.831024283,25.3540598646,19.0396470196
1.760000,30.0017423061,25.1201124224,18.275193475
1.764000,30.0017423061,25.1201124224,18.275193475
1.768000,30.0017423061,25.1201124224,18.275193475
1.772000,30.0017423061,25.1201124224,18.275193475
1.776000,30.0017423061,25.1201124224,18.275193475
1.780000,30.0017423061,25.1201124224,18.275193475
1.784000,30.0017423061,25.1201124224,18.275193475
1.788000,30.0017423061,25.1201124224,18.275193475
1.792000,29.3767007618,25.296320286,16.7748552746
1.796000,29.3767007618,25.296320286,16.7748552746
1.800000,29.3767007618,25.296320286,16.7748552746
1.804000,29.3767007618,25.296320286,16.7748552746
1.808000,29.3767007618,25.296320286,16.7748552746
1.812000,29.3767007618,25.296320286,16.7748552746
1.816000,29.3767007618,25.296320286,16.7748552746
1.820000,29.3767007618,25.296320286,16.7748552746
1.824000,30.1853343215,26.3589118814,18.5461933473
1.828000,30.1853343215,26.3589118814,18.5461933473
1.832000,30.1853343215,26.3589118814,18.5461933473
1.836000,30.1853343215,26.3589118814,18.5461933473
1.840000,30.1853343215,26.3589118814,18.5461933473
1.844000,30.1853343215,26.3589118814,18.5461933473
1.848000,30.1853343215,26.3589118814,18.5461933473
1.852000,30.1853343215,26.3589118814,18.5461933473
1.856000,30.1968312058,25.8923161653,19.17940638
1.860000,30.1968312058,25.8923161653,19.17940638
1.864000,30.1968312058,25.8923161653,19.17940638
1.868000,30.1968312058,25.8923161653,19.17940638
1.872000,30.1968312058,25.8923161653,19.17940638
1.876000,30.1968312058,25.8923161653,19.17940638
1.880000,30.1968312058,25.8923161653,19.17940638
1.884000,30.1968312058,25.8923161653,19.17940638
1.888000,30.2446831391,26.2598537996,18.2183684897
1.892000,30.2446831391,26.2598537996,18.2183684897
1.896000,30.2446831391,26.2598537996,18.2183684897
1.900000,30.2446831391,26.2598537996,18.2183684897
1.904000,30.2446831391,26.2598537996,18.2183684897
1.908000,30.2446831391,26.2598537996,18.2183684897
1.912000,30.2446831391,26.2598537996,18.2183684897
1.916000,30.2446831391,26.2598537996,18.2183684897
1.920000,29.6115295531,25.9059086445,17.4568270949
1.924000,29.6115295531,25.9059086445,17.4568270949
1.928000,29.6115295531,25.9059086445,17.4568270949
